Ref_Date,UOM,GEO,DURATION,AGE,Vector,Coordinate,Value
1980,Person-trips,Canada,Overnight,"25-34 years (x 1,000)",v130951,1.1.3.5,16338.0
1982,Person-trips,Canada,Overnight,"25-34 years (x 1,000)",v130951,1.1.3.5,16131.0
1984,Person-trips,Canada,Overnight,"25-34 years (x 1,000)",v130951,1.1.3.5,15625.0
1986,Person-trips,Canada,Overnight,"25-34 years (x 1,000)",v130951,1.1.3.5,16705.0
1988,Person-trips,Canada,Overnight,"25-34 years (x 1,000)",v130951,1.1.3.5,17732.0
1990,Person-trips,Canada,Overnight,"25-34 years (x 1,000)",v130951,1.1.3.5,17423.0
1992,Person-trips,Canada,Overnight,"25-34 years (x 1,000)",v130951,1.1.3.5,18171.0
1994,Person-trips,Canada,Overnight,"25-34 years (x 1,000)",v130951,1.1.3.5,15647.0
1996,Person-trips,Canada,Overnight,"25-34 years (x 1,000)",v130951,1.1.3.5,13384.0
1980,Person-trips,Canada,Overnight,"35-44 years (x 1,000)",v130954,1.1.3.6,10221.0
1982,Person-trips,Canada,Overnight,"35-44 years (x 1,000)",v130954,1.1.3.6,10485.0
1984,Person-trips,Canada,Overnight,"35-44 years (x 1,000)",v130954,1.1.3.6,10698.0
1986,Person-trips,Canada,Overnight,"35-44 years (x 1,000)",v130954,1.1.3.6,12932.0
1988,Person-trips,Canada,Overnight,"35-44 years (x 1,000)",v130954,1.1.3.6,13997.0
1990,Person-trips,Canada,Overnight,"35-44 years (x 1,000)",v130954,1.1.3.6,14598.0
1992,Person-trips,Canada,Overnight,"35-44 years (x 1,000)",v130954,1.1.3.6,16512.0
1994,Person-trips,Canada,Overnight,"35-44 years (x 1,000)",v130954,1.1.3.6,15522.0
1996,Person-trips,Canada,Overnight,"35-44 years (x 1,000)",v130954,1.1.3.6,14155.0
1980,Person-trips,Canada,Overnight,"45-54 years (x 1,000)",v130957,1.1.3.7,7939.0
1982,Person-trips,Canada,Overnight,"45-54 years (x 1,000)",v130957,1.1.3.7,7595.0
1984,Person-trips,Canada,Overnight,"45-54 years (x 1,000)",v130957,1.1.3.7,7116.0
1986,Person-trips,Canada,Overnight,"45-54 years (x 1,000)",v130957,1.1.3.7,8607.0
1988,Person-trips,Canada,Overnight,"45-54 years (x 1,000)",v130957,1.1.3.7,9173.0
1990,Person-trips,Canada,Overnight,"45-54 years (x 1,000)",v130957,1.1.3.7,10116.0
1992,Person-trips,Canada,Overnight,"45-54 years (x 1,000)",v130957,1.1.3.7,11440.0
1994,Person-trips,Canada,Overnight,"45-54 years (x 1,000)",v130957,1.1.3.7,11327.0
1996,Person-trips,Canada,Overnight,"45-54 years (x 1,000)",v130957,1.1.3.7,10540.0
1980,Person-trips,Canada,Overnight,"55-64 years (x 1,000)",v130960,1.1.3.8,5706.0
1982,Person-trips,Canada,Overnight,"55-64 years (x 1,000)",v130960,1.1.3.8,6148.0
1984,Person-trips,Canada,Overnight,"55-64 years (x 1,000)",v130960,1.1.3.8,5814.0
